filename	ArtistFairID	ArtistID	first_name	last_name	title	medium	height	width	depth	for_sale	cost	description	year	primary_discipline	public_art	thumbnail
1) used as trusted data source in the Jekyll static site generator 2) Do Not any change column header text in any way 3) spell-checked but not necessarily sanity-checked 4) thumbnail column says y for Liz's choice and i, e, and ap for studio photos (i for interior, e for exterior, ap for artist or process, X for not juried, D for duplicate)
Berringer_000024_992130_779024_11026.jpg	2992130	515095	Amy	Berringer	Dolly Sods Autumn Retreat	Pastel	14 Inches	11 Inches	.1 Inches	Yes	400	Soft pastel painting of the Dolly Sod Wilderness, West Virginia.	2022	Painting	NO	y
Berringer_000025_992131_779033_11026.jpg	2992131	515095	Amy	Berringer	Autumn Regalia	Pastel	14 Inches	11 Inches	.1 Inches	Yes	400	Soft pastel painting of Bear’s Den, Appalachian trail, Virginia.	2022	Painting	NO
Berringer_000026_992132_779039_11026.jpg	2992132	515095	Amy	Berringer	A Walk Through Appalachia	Pastel	12 Inches	8.5 Inches	.1 Inches	Yes	350	Soft pastel painting of the Appalachian trail in Maryland.	2022	Painting	NO
Block_000027_979972_985360_11026.jpg	2979972	437963	Anne Marshall	Block	UVA Rotunda. Spring Afternoon	Oil	20 Inches	20 Inches	2 Inches	Yes	1300	My inspiration for this sunny afternoon painting occurred following a stroll “on the Lawn” after the final UVA men’s basketball game of the 2020 season.	2020	Painting	YES
Block_000028_980110_985372_11026.jpg	2980110	437963	Anne Marshall	Block	Yellowstone Afternoon Hike	Oil	20 Inches	24 Inches	1 Inches	Yes	1100	While hiking Hell Roaring Creek Trail August 2020, I captured the beauty of a summer afternoon on film while hearing this roaring creek which feeds into the Yellowstone River. I was not only inspired to paint it recently but to go back and hike it again!	2021	Painting	YES
Block_000029_980111_985386_11026.jpg	2980111	437963	Anne Marshall	Block	Tidal Basin Cherry Blossoms	Oil	20 Inches	20 Inches	2 Inches	Yes	1100	Each year I walk the Tidal Basin during cherry blossom season and receive this visual inspiration for future paintings. Here is my most recent painting done during COVID when I used memories to inspire!!!	2021	Painting	NO
Block_000030_980112_985393_11026.jpg	2980112	437963	Anne Marshall	Block	Bass Lighthouse, Maine	Oil	18 Inches	20 Inches	2 Inches	Yes	1100	Visit Bar Harbor, Maine and Acadia National Park. Catch the sunset seen here over Bar Harbor Lighthouse!	2021	Painting	NO
Block_000031_980113_985397_11026.jpg	2980113	437963	Anne Marshall	Block	Sedona Sunrise	Oil	12 Inches	24 Inches	2 Inches	Yes	1000	Morning hikes in Arizona State Parks near Sedona reveal peace and wonder. Often you are surrounded by vortexes. If time allows, sit, relax and breath in the beauty of a morning sunrise. Life changing!	2021	Painting	NO
Block_000032_980114_985407_11026.jpg	2980114	437963	Anne Marshall	Block	Sedona afternoon	Oil	16 Inches	20 Inches	2 Inches	Yes	1100	Vortices abound along this hiking path near Sedona, Arizona. Relax and take in the beauty and tranquility of the rolling creek and desert breeze.	2020	Painting	NO
Block_000033_980115_985445_11026.jpg	2980115	437963	Anne Marshall	Block	Amalfi City Beach	Oil on Linen	18 Inches	20 Inches	1 Inches	Yes	1300	Visit the Amalfi Coast of Italy and live the dream of a family holiday like no other. This trip was my painting inspiration!	2022	Painting	NO
Block_000034_980116_766651_11026.jpg	2980116	437963	Anne Marshall	Block	Bighorn National Forest	Oil on Linen	24 Inches	36 Inches	1 Inches	Yes	1200	This early morning scene was painted in vibrant colors and depicted morning, southwest light.	2022	Painting	NO
Block_000035_980117_766659_11026.jpg	2980117	437963	Anne Marshall	Block	Longhorn in Sage	Oil on Linen	24 Inches	36 Inches	1 Inches	Yes	1500	While walking along the Rio Grande, I saw a herd of Longhorns near this bridge, and photographed many of them. This picture emphasizes the strength of this animal, as well as the Golden Hour sunlight.	2022	Painting	NO
Block_000036_980118_766662_11026.jpg	2980118	437963	Anne Marshall	Block	New Zealand Port	Oil on Linen	24 Inches	20 Inches	1 Inches	Yes	899	This sunny afternoon coastal scene occurred on the South Island of New Zealand. My daughter and I enjoyed walking by the beach and later, eating fresh seafood. It will long be remembered.	2022	Painting	NO	y
Block_000037_980119_766667_11026.jpg	2980119	437963	Anne Marshall	Block	Niece and Nephew	Oil on Linen	20 Inches	24 Inches	1 Inches	No	0	My niece took pictures of my grandniece and grandnephew in front of a neighbor’s sunflower field. After receiving this photo, I was inspired to paint it.	2022	Painting	NO
Block_000038_980120_766674_11026.jpg	2980120	437963	Anne Marshall	Block	Paris	Oil on Canvas	12 Inches	24 Inches	1 Inches	Yes	999	While walking along the Seine River on a Winter day, I anxiously awaited my tour of the Louvre and took these pictures for painting.	2020	Painting	NO
Block_000039_980121_766683_11026.jpg	2980121	437963	Anne Marshall	Block	Bison in Hayden Valley	Oil on Linen	24 Inches	36 Inches	1 Inches	Yes	1200	I viewed these two bison by the banks of the Lamar River in Yellowstone National Park.	2020	Painting	NO
Busch_000040_942259_726139_11026.jpg	2942259	509312	Richard	Busch	plate	ceramic	3 Inches	10 Inches	10 Inches	Yes	60	high fired, functional plate	2021	Ceramic	NO
Busch_000041_942282_726142_11026.jpg	2942282	509312	Richard	Busch	narrow-neck vase	ceramic	8 Inches	3 Inches	3 Inches	Yes	25		2021	Ceramic	NO
Busch_000042_942283_726144_11026.jpg	2942283	509312	Richard	Busch	vase	ceramic	10 Inches	3 Inches	3 Inches	Yes	60		2021	Ceramic	NO
